dust0: .word 8, 16
.byte 199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,
199,255,255,199,255,255,199,199,
199,255,255,255,255,255,255,199,
255,255,255,255,255,255,255,199,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
199,255,255,255,255,255,255,199,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,
199,255,255,255,199,255,255,199,


