hub1: .word 16, 16, 0
.byte 199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,
199,199,199,199,199,0,151,255,255,255,0,199,199,199,199,199,
199,199,199,199,0,151,255,255,255,255,0,199,199,199,199,199,
199,199,199,199,0,255,255,255,255,255,0,199,199,199,199,199,
199,199,199,199,199,0,255,255,255,255,0,199,199,199,199,199,
199,199,199,199,199,0,255,255,255,255,0,199,199,199,199,199,
199,199,199,199,199,0,255,255,255,255,0,199,199,199,199,199,
199,199,199,199,199,0,255,255,255,255,0,199,199,199,199,199,
199,0,0,0,0,0,255,255,255,255,0,0,0,0,0,199,
0,0,0,0,0,0,255,255,255,255,0,0,0,0,0,0,
0,0,0,0,0,0,255,255,255,255,0,0,0,0,0,0,
0,255,0,0,0,0,255,255,255,255,0,0,0,0,255,0,
0,0,0,0,0,0,255,255,255,255,0,0,0,0,0,0,
0,0,0,0,0,0,255,255,255,255,0,0,0,0,0,0,
199,0,0,0,0,0,255,255,255,255,0,0,0,0,0,199,
199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,


hub2: .word 16, 16, 0
.byte 199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,
199,199,199,199,0,0,151,255,255,151,0,0,199,199,199,199,
199,199,199,0,151,255,255,255,255,255,255,151,0,199,199,199,
199,199,0,151,255,255,255,255,255,255,255,255,151,0,199,199,
199,199,0,255,255,255,151,0,0,151,255,255,255,0,199,199,
199,199,0,255,255,255,0,199,199,0,255,255,255,0,199,199,
199,199,199,0,0,0,199,199,0,151,255,255,255,0,199,199,
199,199,199,199,199,199,199,0,151,255,255,255,151,0,199,199,
199,0,0,0,0,0,0,151,255,255,255,255,0,0,0,199,
0,0,0,0,0,0,151,255,255,255,255,0,0,0,0,0,
0,0,0,0,0,151,255,255,255,255,0,0,0,0,0,0,
0,255,0,0,151,255,255,255,255,0,0,0,0,0,255,0,
0,0,0,151,255,255,255,255,255,255,255,255,255,0,0,0,
0,0,0,255,255,255,255,255,255,255,255,255,255,0,0,0,
199,0,0,255,255,255,255,255,255,255,255,255,255,0,0,199,
199,199,199,0,0,0,0,0,0,0,0,0,0,199,199,199,


hub3: .word 16, 16, 0
.byte 199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,
199,199,199,199,0,0,151,255,255,151,0,0,199,199,199,199,
199,199,199,0,151,255,255,255,255,255,255,151,0,199,199,199,
199,199,0,151,255,255,255,255,255,255,255,255,151,0,199,199,
199,199,0,255,255,255,151,0,0,151,255,255,255,0,199,199,
199,199,0,255,255,255,0,199,199,0,255,255,255,0,199,199,
199,199,199,0,0,0,199,0,0,151,255,255,151,0,199,199,
199,199,199,199,199,199,0,255,255,255,255,255,0,199,199,199,
199,0,0,0,0,0,0,255,255,255,255,255,151,0,0,199,
0,0,0,0,0,0,0,0,0,151,255,255,255,0,0,0,
0,0,0,255,255,255,0,0,0,0,255,255,255,0,0,0,
0,255,0,255,255,255,151,0,0,151,255,255,255,0,255,0,
0,0,0,151,255,255,255,255,255,255,255,255,151,0,0,0,
0,0,0,0,151,255,255,255,255,255,255,151,0,0,0,0,
199,0,0,0,0,0,151,255,255,151,0,0,0,0,0,199,
199,199,199,199,199,199,0,0,0,0,199,199,199,199,199,199,


hub4: .word 16, 16, 0
.byte 199,199,199,199,199,199,0,0,0,0,0,0,0,199,199,199,
199,199,199,199,199,0,151,255,255,255,255,255,0,199,199,199,
199,199,199,199,199,0,255,255,255,255,255,255,0,199,199,199,
199,199,199,199,0,151,255,255,255,255,255,255,0,199,199,199,
199,199,199,199,0,255,255,255,0,255,255,255,0,199,199,199,
199,199,199,0,151,255,255,151,0,255,255,255,0,199,199,199,
199,199,199,0,255,255,255,0,0,255,255,255,0,199,199,199,
199,199,0,151,255,255,151,0,0,255,255,255,0,199,199,199,
199,0,0,255,255,255,255,255,255,255,255,255,255,0,0,199,
0,0,0,255,255,255,255,255,255,255,255,255,255,0,0,0,
0,0,0,255,255,255,255,255,255,255,255,255,255,0,0,0,
0,255,0,0,0,0,0,0,0,255,255,255,0,0,255,0,
0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,
0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,
199,0,0,0,0,0,0,0,0,255,255,255,0,0,0,199,
199,199,199,199,199,199,199,199,199,0,0,0,199,199,199,199,


hubDedede: .word 24, 24
.byte 199,199,199,199,199,199,199,199,199,0,0,199,0,0,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,0,0,0,0,255,255,0,199,199,199,199,199,199,199,199,199,
199,199,0,0,0,0,0,0,0,255,0,151,151,0,0,0,0,0,0,0,0,0,199,199,
199,0,0,255,255,255,255,0,255,255,151,0,151,151,151,0,0,0,255,255,255,0,0,199,
199,0,255,255,255,255,0,151,255,255,255,0,0,151,151,151,151,0,0,255,255,255,0,199,
199,0,255,255,255,0,0,255,255,255,255,255,151,0,0,151,151,0,0,255,255,255,0,199,
199,0,255,255,0,151,255,255,255,255,255,255,255,255,255,0,0,151,0,0,255,255,0,199,
199,0,255,0,255,255,0,0,151,255,151,0,0,0,151,255,255,0,0,0,0,255,0,199,
199,0,255,0,255,0,255,151,0,0,0,0,0,0,0,151,255,255,255,151,0,0,0,199,
199,0,255,0,151,151,255,0,255,151,0,255,0,255,0,0,0,151,255,151,0,0,0,199,
199,0,255,255,0,151,255,0,0,151,255,255,0,0,0,0,255,0,0,0,0,0,0,199,
199,0,255,255,255,0,255,151,0,0,0,151,255,0,255,151,255,151,0,0,0,255,0,199,
199,0,255,255,255,0,0,0,255,255,255,0,0,255,151,255,255,151,0,0,0,255,0,199,
199,0,255,255,0,0,255,255,255,255,255,255,151,0,151,255,151,0,0,255,255,0,0,199,
