hubT91: .word 16, 16
.byte 255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,
255,255,255,255,255,255,255,255,61,255,126,255,126,126,126,126,


