stage1: .word 17, 23
.byte 67,63,64,64,64,64,64,64,64,64,64,64,64,64,64,65,67,
0,148,99,67,66,9,13,14,13,14,13,14,10,9,13,16,16,14,127,67,
67,63,64,67,66,13,16,16,16,16,16,16,14,13,16,16,16,16,127,67,
67,66,9,67,66,20,19,20,16,19,21,20,19,20,16,16,16,16,127,67,
67,66,13,67,66,0,0,0,21,0,0,0,0,0,20,19,20,19,127,67,
67,66,20,67,66,33,33,33,33,33,33,33,33,33,33,33,62,33,127,67,
67,66,0,67,66,35,35,35,35,35,35,35,35,35,35,35,48,35,127,67,
67,66,33,104,108,109,108,109,108,109,102,102,102,108,109,108,109,108,109,104,
67,66,35,16,79,74,127,67,74,81,16,16,16,74,127,74,63,64,81,16,
104,108,109,20,19,79,65,67,80,16,16,19,20,79,127,80,66,81,20,19,
16,79,74,0,0,0,127,67,66,19,21,0,78,64,65,67,66,0,39,41,
20,19,79,39,41,39,127,67,66,39,41,39,41,39,127,67,66,39,46,47,
0,0,0,47,46,47,127,67,66,42,46,47,42,46,127,67,66,46,48,48,
39,41,39,48,48,50,127,67,63,64,83,48,47,51,127,67,63,83,48,48,
47,46,47,51,50,42,127,67,66,51,48,48,48,47,127,67,66,46,48,50,
48,48,50,42,42,46,127,67,66,46,48,50,51,50,127,67,66,51,50,42,
51,50,42,42,42,78,65,67,66,51,50,42,78,64,65,67,66,42,42,42,
42,42,46,54,54,54,127,67,66,54,54,54,54,54,127,67,66,54,54,54,
42,42,78,33,33,33,127,67,66,33,33,33,33,33,127,67,66,33,33,33,
54,54,54,111,38,34,127,67,66,34,37,116,38,34,127,67,66,34,37,110,
33,33,33,117,115,107,107,107,107,107,112,118,115,107,107,107,107,107,112,118,
111,38,34,113,113,74,113,113,74,87,113,113,113,74,113,113,78,87,113,113,
117,115,107,113,97,75,113,113,75,75,87,113,97,75,113,113,74,75,87,113,
113,113,74,

