stage4: .word 80, 15, 0 
.byte 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
6,8,9,6,6,8,6,6,6,9,6,6,7,6,6,6,6,13,16,16,16,16,16,16,16,16,16,16,19,0,0,0,0,39,40,41,0,0,0,0,69,0,0,0,0,0,0,39,41,39,41,0,39,41,0,0,127,67,66,20,19,20,19,20,16,16,16,14,13,15,14,13,14,22,23,6,7,6,9,13,
6,6,8,8,9,6,6,7,6,6,9,6,8,8,6,13,15,16,16,16,16,16,16,16,16,19,20,19,0,0,0,0,39,42,42,42,40,40,41,0,127,70,0,0,0,39,40,42,42,42,42,40,42,42,41,0,127,67,66,39,41,39,41,0,20,19,20,16,16,16,16,16,16,0,0,23,22,23,13,16,
6,9,6,6,6,6,8,6,6,8,6,7,6,6,13,16,16,16,16,16,16,16,16,16,19,0,0,0,0,0,39,40,42,42,46,47,42,42,42,40,127,66,41,39,40,42,42,46,47,42,42,42,42,42,42,40,127,67,66,42,42,42,42,41,39,71,0,20,16,16,16,16,16,69,72,73,0,0,16,16,
6,6,22,23,6,7,6,9,6,8,13,14,13,15,16,16,16,16,16,16,16,19,20,17,0,0,0,0,0,39,42,42,42,46,48,50,42,42,46,47,127,66,47,42,42,42,46,48,50,42,42,42,42,42,42,74,127,74,66,74,42,46,47,42,42,75,41,0,20,19,20,16,74,127,127,67,76,77,20,19,
8,13,0,0,23,22,23,13,14,13,16,16,16,16,16,16,16,16,16,16,19,0,0,0,0,0,0,39,40,42,42,42,42,51,50,42,42,42,51,48,127,66,50,42,42,42,51,50,42,42,42,42,42,42,42,79,65,80,63,81,46,48,50,42,42,75,42,41,39,40,41,20,79,65,127,67,66,66,39,40,
13,16,69,72,73,0,0,16,16,16,16,16,16,16,16,16,16,17,18,17,0,39,40,41,39,41,39,42,46,47,46,47,42,42,42,42,42,42,46,48,127,66,54,42,54,54,54,42,54,42,54,42,42,42,46,48,127,67,66,42,51,48,47,42,42,75,42,42,42,42,42,41,39,127,127,67,66,66,42,42,
74,16,127,127,67,76,77,16,16,16,16,16,16,16,19,20,19,0,0,0,74,42,42,42,42,42,42,46,48,48,48,50,54,42,54,42,54,54,51,50,127,103,103,103,104,103,104,104,104,105,104,105,105,105,51,50,127,67,66,42,46,48,50,54,42,75,54,46,47,42,42,42,42,127,127,82,66,66,74,42,
75,16,127,74,67,66,66,16,16,16,74,16,16,19,0,0,0,0,0,0,75,54,54,54,54,54,54,51,103,103,103,104,103,104,104,104,105,104,105,105,105,66,42,42,79,64,127,67,66,75,81,48,50,42,42,54,84,85,86,54,51,50,103,104,103,104,105,104,105,42,54,74,54,84,84,0,86,86,75,74,
103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,105,51,50,42,79,75,127,75,66,75,81,42,42,127,66,46,47,46,79,127,67,63,81,46,48,47,42,103,104,103,104,105,104,105,42,42,42,74,74,74,48,47,42,103,104,103,104,104,104,104,104,105,104,
79,64,65,79,65,66,63,64,64,64,81,19,0,0,0,0,0,0,39,79,75,67,67,63,64,81,42,42,46,47,42,42,79,65,80,66,81,42,42,42,127,66,48,48,48,50,127,67,66,48,48,48,50,42,42,79,127,67,66,75,42,42,42,46,79,80,81,48,50,42,42,79,64,127,80,67,63,81,75,81,
19,20,127,127,67,66,66,16,19,20,19,0,0,0,39,41,39,40,42,42,79,65,67,66,42,42,42,46,48,50,42,46,48,127,67,66,42,42,42,42,127,66,50,51,50,42,127,67,66,50,51,50,42,42,42,42,127,67,63,81,42,42,46,48,50,75,51,50,42,42,42,42,79,127,127,67,66,66,81,42,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,


