stage2: .word 64, 15, 0
.byte 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
7,6,72,73,88,76,9,6,7,9,6,6,9,29,29,22,0,0,0,0,0,0,72,76,0,0,0,0,0,127,66,0,39,40,41,39,0,0,0,0,39,41,39,41,0,0,0,23,22,23,9,6,7,29,6,9,7,72,73,88,76,9,6,7,
6,9,127,67,67,66,6,9,6,7,22,23,22,0,0,0,0,0,0,0,0,0,127,66,0,0,0,39,40,127,66,40,42,42,42,42,71,40,0,0,42,42,42,42,40,0,0,40,41,0,23,29,22,0,23,29,9,127,67,67,66,7,29,22,
22,78,93,67,67,66,6,6,29,22,0,0,0,72,76,0,0,0,0,0,0,0,127,66,39,41,39,42,59,127,66,42,42,42,42,59,75,42,72,76,42,42,42,42,59,72,76,42,42,41,39,41,0,0,0,0,23,127,67,67,66,22,0,39,
0,0,127,67,67,66,29,22,71,0,0,0,0,127,66,0,0,71,0,0,39,41,127,66,61,42,42,42,42,127,66,42,59,61,42,42,75,42,127,66,42,59,61,42,42,127,66,42,42,59,61,42,40,71,41,0,0,127,82,67,66,39,40,42,
39,40,127,67,67,66,39,41,75,39,40,41,39,127,66,40,41,75,39,40,59,61,127,66,42,59,61,42,42,127,66,42,42,42,42,42,75,61,127,66,42,42,42,42,42,127,66,61,42,42,42,42,59,75,42,40,41,127,0,67,66,42,42,59,
54,54,127,67,67,66,54,54,75,54,54,54,54,127,66,54,54,75,54,54,54,54,127,66,54,54,54,54,54,127,66,54,54,54,54,54,75,54,127,66,54,54,54,54,54,127,66,54,54,54,54,54,54,75,54,54,54,103,107,105,66,54,54,54,
33,33,127,67,74,66,33,33,75,33,33,33,33,127,66,33,33,75,33,33,33,33,127,66,33,33,33,33,33,127,66,33,33,33,33,33,75,33,127,66,33,33,33,33,33,127,66,33,33,33,33,33,33,75,33,33,97,65,67,74,66,74,33,33,
34,97,65,67,75,98,87,36,34,34,34,34,34,84,86,34,34,36,34,34,34,34,84,86,34,34,34,34,34,84,86,37,110,107,107,107,107,107,107,107,111,38,34,34,34,84,86,34,34,34,34,34,34,34,34,97,75,127,67,75,66,75,87,34,
97,75,127,67,75,66,75,87,35,35,35,35,35,35,35,35,35,35,35,35,103,107,107,107,107,107,107,107,107,107,107,112,74,113,74,114,74,114,74,114,74,115,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,
103,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,105,74,114,74,113,74,113,74,113,74,113,75,114,75,113,75,113,75,113,75,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,
74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,74,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,75,113,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,


